ID,CAMPAIGN_NAME,DATE,SPEND,IMPRESSIONS,CLICKS
1003371337,ad_network_2_iOS_UK_All_B_Exact_CPT,2022-10-15,10.54,20,7
1003432055,ad_network_2_iOS_IE_All_Exact_CPT,2023-01-16,8.38,85,8
1003505742,ad_network_2_iOS_IE_New_Match,2022-03-06,13.54,310,9
1014115345,ad_network_2_iOS_FR_All_Match,2023-01-06,143.36,846,243
997563664,ad_network_2_iOS_US_All_C_Exact_CPT,2022-04-12,785.37,507,250
1003505483,ad_network_2_iOS_NZ_All_Exact_CPT,2022-04-04,26.52,153,18
1014085395,ad_network_2_iOS_FR_All_Exact_CPT,2022-04-05,53.96,370,9
1003290939,ad_network_2_iOS_IE_All_C_Exact_CPT,2023-02-05,0.00,4,0
1003428951,ad_network_2_iOS_NZ_All_Match,2022-10-14,6.59,1026,54
1015220333,ad_network_2_iOS_BE_All_C_Exact_CPT,2022-03-16,0.00,9,0
997546097,ad_network_2_iOS_US_All_Exact_CPT,2022-08-06,4336.78,1792,178
1003503722,ad_network_2_iOS_CA_All_Match,2022-12-25,103.70,1808,73
1003505442,ad_network_2_iOS_IE_All_B_Exact_CPT,2022-10-07,0.00,6,0
1003487590,ad_network_2_iOS_NZ_All_C_Exact_CPT,2022-02-20,4.19,30,7
1003428949,ad_network_2_iOS_UK_All_Match,2022-04-10,229.24,1841,80
997510675,ad_network_2_iOS_US_All_Shared_B_Exact_CPT,2022-04-10,86.86,28,20
1003503146,ad_network_2_iOS_AU_All_Shared_B_Exact_CPT,2022-02-11,0.00,8,0
1003500265,ad_network_2_iOS_AU_All_C_Exact_CPT,2022-03-27,14.47,18,2
1003432055,ad_network_2_iOS_IE_All_Exact_CPT,2023-04-04,20.93,132,48
1003288399,ad_network_2_iOS_UK_All_Exact_CPT,2022-04-17,38.15,224,39
1015196756,ad_network_2_iOS_BE_All_Exact_CPT,2023-02-12,1.91,272,12
1003470088,ad_network_2_iOS_UK_All_C_Exact_CPT,2022-03-10,0.00,6,0
1003505483,ad_network_2_iOS_NZ_All_Exact_CPT,2023-03-02,41.53,72,15
1003503722,ad_network_2_iOS_CA_All_Match,2023-03-11,941.58,1742,196
1003500265,ad_network_2_iOS_AU_All_C_Exact_CPT,2023-02-06,0.00,27,0
1009045000,ad_network_2_iOS_DE_All_Exact_CPT,2022-11-24,162.79,340,45
1003288334,ad_network_2_iOS_CA_All_B_Exact_CPT,2022-05-26,1.27,12,5
997546097,ad_network_2_iOS_US_All_Exact_CPT,2022-09-14,2779.13,718,232
1015220333,ad_network_2_iOS_BE_All_C_Exact_CPT,2022-07-28,0.46,32,1
1003505442,ad_network_2_iOS_IE_All_B_Exact_CPT,2022-03-26,0.49,5,5
997595383,ad_network_2_iOS_US_All_B_Exact_CPT,2022-10-18,53.07,60,8
1003503564,ad_network_2_iOS_NZ_All_Shared_B_Exact_CPT,2022-12-13,0.00,16,0
1003470087,ad_network_2_iOS_CA_All_Exact_CPT,2022-10-10,370.36,490,17
1003503564,ad_network_2_iOS_NZ_All_Shared_B_Exact_CPT,2022-04-21,0.00,21,0
